drift_id,org_id,previous_policy_id,new_circular_id,drift_type,old_requirement,new_requirement,drift_score,impacted_departments,recommended_action,ground_truth_label,created_at
DRF-000234,ORG-0018,POL-000178,CIR-00064,New Control Required,annual review,quarterly review,29,Legal,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-11-13T09:39:00
DRF-000235,ORG-0001,POL-000006,CIR-00165,Reporting Frequency Changed,manual evidence upload,system-generated evidence hash,78,"Audit,Finance,Compliance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-03-23T13:24:00
DRF-000236,ORG-0005,POL-000047,CIR-00056,Reporting Frequency Changed,annual review,quarterly review,78,"Trading Desk,Finance,Data Governance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-04-01T12:12:00
DRF-000237,ORG-0009,POL-000091,CIR-00205,New Control Required,board noting,board approval with action tracker,84,Audit,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-09-07T12:25:00
DRF-000238,ORG-0027,POL-000273,CIR-00218,Approval Level Increased,periodic audit,continuous monitoring dashboard,51,Compliance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-04-16T11:46:00
DRF-000239,ORG-0001,POL-000005,CIR-00117,Threshold Changed,manual evidence upload,system-generated evidence hash,71,Operations,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-08-18T18:11:00
DRF-000240,ORG-0012,POL-000119,CIR-00191,Evidence Standard Changed,annual review,quarterly review,36,"IT,Risk,Security","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-04-01T20:00:00
DRF-000241,ORG-0004,POL-000035,CIR-00035,Scope Expanded,basic due diligence,enhanced due diligence for high-risk customers,26,"IT,Risk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-12-25T15:46:00
DRF-000242,ORG-0022,POL-000219,CIR-00026,Threshold Changed,board noting,board approval with action tracker,64,"Finance,Operations","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-11-11T08:31:00
DRF-000243,ORG-0002,POL-000017,CIR-00197,Retention Period Changed,sample testing,complete population testing for high-risk items,44,"Data Governance,Risk","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-08-03T11:23:00
DRF-000244,ORG-0008,POL-000078,CIR-00090,Threshold Changed,board noting,board approval with action tracker,41,Legal,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2026-03-09T16:56:00
DRF-000245,ORG-0023,POL-000229,CIR-00118,Threshold Changed,static limits,dynamic risk-based limits,24,Audit,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-11-30T12:50:00
DRF-000246,ORG-0030,POL-000313,CIR-00001,Scope Expanded,manual evidence upload,system-generated evidence hash,68,Audit,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2025-07-19T13:35:00
DRF-000247,ORG-0004,POL-000039,CIR-00026,Evidence Standard Changed,board noting,board approval with action tracker,89,"Audit,Security","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-04-24T08:19:00
DRF-000248,ORG-0017,POL-000175,CIR-00086,Timeline Tightened,static limits,dynamic risk-based limits,90,"Finance,Data Governance","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-08-11T18:17:00
DRF-000249,ORG-0020,POL-000199,CIR-00097,Retention Period Changed,periodic audit,continuous monitoring dashboard,66,"Finance,Risk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-06-16T11:18:00
DRF-000250,ORG-0001,POL-000001,CIR-00021,Scope Expanded,basic due diligence,enhanced due diligence for high-risk customers,42,"Compliance,Security,Audit","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-02-11T09:22:00
DRF-000251,ORG-0001,POL-000008,CIR-00111,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,41,Risk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-06-09T19:06:00
DRF-000252,ORG-0015,POL-000149,CIR-00199,Timeline Tightened,informal escalation,formal incident notification within 24 hours,95,"Operations,Security","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-06-23T10:01:00
DRF-000253,ORG-0017,POL-000171,CIR-00077,New Control Required,manual evidence upload,system-generated evidence hash,79,"IT,Trading Desk","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-07-12T12:07:00
DRF-000254,ORG-0022,POL-000218,CIR-00115,Approval Level Increased,informal escalation,formal incident notification within 24 hours,25,"Trading Desk,Operations,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-12-03T09:40:00
DRF-000255,ORG-0007,POL-000069,CIR-00189,Retention Period Changed,manual evidence upload,system-generated evidence hash,79,"Audit,Trading Desk","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-12-14T17:23:00
DRF-000256,ORG-0007,POL-000068,CIR-00042,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,51,"Data Governance,Audit","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-05-26T13:17:00
DRF-000257,ORG-0004,POL-000038,CIR-00064,Timeline Tightened,static limits,dynamic risk-based limits,56,IT,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2025-12-03T10:56:00
DRF-000258,ORG-0010,POL-000096,CIR-00001,Threshold Changed,board noting,board approval with action tracker,24,"Security,Risk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-07-14T12:19:00
DRF-000259,ORG-0024,POL-000240,CIR-00093,Threshold Changed,annual review,quarterly review,94,Operations,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-04-29T15:21:00
DRF-000260,ORG-0023,POL-000232,CIR-00147,Evidence Standard Changed,annual review,quarterly review,61,"Compliance,IT","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2025-12-30T08:55:00
DRF-000261,ORG-0014,POL-000140,CIR-00147,Reporting Frequency Changed,basic due diligence,enhanced due diligence for high-risk customers,62,"Data Governance,Compliance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-02-10T13:57:00
DRF-000262,ORG-0023,POL-000235,CIR-00166,Threshold Changed,informal escalation,formal incident notification within 24 hours,64,Trading Desk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-04-18T12:30:00
DRF-000263,ORG-0014,POL-000145,CIR-00016,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,90,Data Governance,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2025-04-22T13:06:00
DRF-000264,ORG-0027,POL-000278,CIR-00061,Reporting Frequency Changed,board noting,board approval with action tracker,23,Trading Desk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-09-27T13:16:00
DRF-000265,ORG-0021,POL-000211,CIR-00174,Evidence Standard Changed,annual review,quarterly review,55,Audit,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2025-09-15T08:15:00
DRF-000266,ORG-0021,POL-000207,CIR-00110,Threshold Changed,sample testing,complete population testing for high-risk items,89,Security,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-04-13T10:56:00
DRF-000267,ORG-0004,POL-000035,CIR-00008,New Control Required,board noting,board approval with action tracker,58,"IT,Compliance,Security","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-10-11T08:25:00
DRF-000268,ORG-0012,POL-000119,CIR-00079,Timeline Tightened,sample testing,complete population testing for high-risk items,74,"Finance,Operations","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-08-31T17:07:00
DRF-000269,ORG-0014,POL-000143,CIR-00014,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,83,"Operations,Compliance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2025-08-06T13:21:00
DRF-000270,ORG-0021,POL-000208,CIR-00050,Scope Expanded,static limits,dynamic risk-based limits,48,Risk,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-01-27T18:50:00
DRF-000271,ORG-0007,POL-000064,CIR-00179,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,25,"Risk,Audit,Compliance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-07-15T16:31:00
DRF-000272,ORG-0016,POL-000162,CIR-00187,Timeline Tightened,annual review,quarterly review,77,"Trading Desk,IT,Risk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-06-08T17:44:00
DRF-000273,ORG-0013,POL-000132,CIR-00199,Timeline Tightened,periodic audit,continuous monitoring dashboard,73,"Finance,IT","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-02-27T16:19:00
DRF-000274,ORG-0030,POL-000307,CIR-00211,Evidence Standard Changed,sample testing,complete population testing for high-risk items,75,"Compliance,IT","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-07-13T11:57:00
DRF-000275,ORG-0018,POL-000178,CIR-00170,Retention Period Changed,informal escalation,formal incident notification within 24 hours,37,"Audit,Compliance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-05-20T12:03:00
DRF-000276,ORG-0012,POL-000120,CIR-00052,Reporting Frequency Changed,sample testing,complete population testing for high-risk items,68,"IT,Audit,Security","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-11-25T18:15:00
DRF-000277,ORG-0017,POL-000173,CIR-00064,Approval Level Increased,basic due diligence,enhanced due diligence for high-risk customers,82,Data Governance,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-03-30T16:00:00
DRF-000278,ORG-0003,POL-000026,CIR-00198,New Control Required,sample testing,complete population testing for high-risk items,86,"Audit,Finance","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-06-12T08:02:00
DRF-000279,ORG-0007,POL-000065,CIR-00216,Timeline Tightened,sample testing,complete population testing for high-risk items,40,Risk,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2026-07-06T19:38:00
DRF-000280,ORG-0005,POL-000050,CIR-00169,Timeline Tightened,static limits,dynamic risk-based limits,34,"Operations,IT","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-09-23T13:44:00
DRF-000281,ORG-0012,POL-000121,CIR-00091,New Control Required,annual review,quarterly review,32,"IT,Risk,Trading Desk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2026-06-03T18:59:00
DRF-000282,ORG-0013,POL-000125,CIR-00078,Threshold Changed,informal escalation,formal incident notification within 24 hours,73,Security,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-08-29T11:26:00
DRF-000283,ORG-0016,POL-000166,CIR-00196,Reporting Frequency Changed,annual review,quarterly review,31,Compliance,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-12-07T08:03:00
DRF-000284,ORG-0021,POL-000206,CIR-00165,Reporting Frequency Changed,static limits,dynamic risk-based limits,33,Data Governance,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2026-02-25T17:30:00
DRF-000285,ORG-0009,POL-000090,CIR-00104,Scope Expanded,board noting,board approval with action tracker,67,Trading Desk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-09-15T19:13:00
DRF-000286,ORG-0003,POL-000028,CIR-00126,Timeline Tightened,manual evidence upload,system-generated evidence hash,66,Trading Desk,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2025-06-23T13:26:00
DRF-000287,ORG-0012,POL-000122,CIR-00058,Retention Period Changed,sample testing,complete population testing for high-risk items,45,"Operations,Security","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-12-30T16:38:00
DRF-000288,ORG-0003,POL-000030,CIR-00016,Timeline Tightened,annual review,quarterly review,23,Security,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-06-24T08:58:00
DRF-000289,ORG-0026,POL-000262,CIR-00206,Retention Period Changed,informal escalation,formal incident notification within 24 hours,79,"Compliance,Finance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-10-15T10:23:00
DRF-000290,ORG-0022,POL-000224,CIR-00095,Retention Period Changed,periodic audit,continuous monitoring dashboard,57,"Risk,Audit","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-05-31T19:32:00
DRF-000291,ORG-0010,POL-000101,CIR-00074,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,81,"Legal,Trading Desk,Security","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2026-04-23T18:09:00
DRF-000292,ORG-0003,POL-000032,CIR-00160,Timeline Tightened,board noting,board approval with action tracker,56,"IT,Risk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-07-07T14:30:00
DRF-000293,ORG-0004,POL-000040,CIR-00018,Reporting Frequency Changed,static limits,dynamic risk-based limits,95,"IT,Risk,Legal","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-10-08T11:44:00
DRF-000294,ORG-0017,POL-000171,CIR-00116,Evidence Standard Changed,board noting,board approval with action tracker,59,"Data Governance,Compliance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2026-01-22T15:15:00
DRF-000295,ORG-0028,POL-000284,CIR-00051,Retention Period Changed,annual review,quarterly review,25,IT,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-06-16T19:17:00
DRF-000296,ORG-0027,POL-000272,CIR-00152,Scope Expanded,basic due diligence,enhanced due diligence for high-risk customers,83,Security,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-02-03T15:40:00
DRF-000297,ORG-0022,POL-000218,CIR-00072,Reporting Frequency Changed,board noting,board approval with action tracker,69,Security,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-10-08T12:30:00
DRF-000298,ORG-0009,POL-000091,CIR-00218,Evidence Standard Changed,basic due diligence,enhanced due diligence for high-risk customers,51,Risk,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-04-02T09:49:00
DRF-000299,ORG-0012,POL-000118,CIR-00215,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,87,Data Governance,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2026-06-21T20:37:00
DRF-000300,ORG-0012,POL-000117,CIR-00042,Threshold Changed,sample testing,complete population testing for high-risk items,91,"Finance,Audit,Compliance","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-12-11T18:35:00
DRF-000301,ORG-0006,POL-000055,CIR-00038,New Control Required,sample testing,complete population testing for high-risk items,32,Operations,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2026-02-25T17:21:00
DRF-000302,ORG-0023,POL-000227,CIR-00045,Reporting Frequency Changed,basic due diligence,enhanced due diligence for high-risk customers,93,"Security,Data Governance,Trading Desk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2025-04-04T11:05:00
DRF-000303,ORG-0016,POL-000165,CIR-00140,Timeline Tightened,manual evidence upload,system-generated evidence hash,31,"Operations,Legal,Security","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2025-11-21T08:54:00
DRF-000304,ORG-0016,POL-000162,CIR-00015,Reporting Frequency Changed,manual evidence upload,system-generated evidence hash,30,"Legal,Operations","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2025-11-05T13:28:00
DRF-000305,ORG-0009,POL-000090,CIR-00175,New Control Required,board noting,board approval with action tracker,35,"Operations,Audit","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-03-28T09:26:00
DRF-000306,ORG-0011,POL-000115,CIR-00068,Threshold Changed,periodic audit,continuous monitoring dashboard,67,"IT,Risk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-05-27T13:47:00
DRF-000307,ORG-0019,POL-000187,CIR-00108,New Control Required,static limits,dynamic risk-based limits,62,"Risk,Trading Desk,Legal","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-04-30T16:24:00
DRF-000308,ORG-0009,POL-000087,CIR-00020,Threshold Changed,sample testing,complete population testing for high-risk items,26,Trading Desk,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2026-06-13T09:19:00
DRF-000309,ORG-0016,POL-000161,CIR-00045,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,62,Risk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-01-08T14:45:00
DRF-000310,ORG-0026,POL-000266,CIR-00021,Reporting Frequency Changed,static limits,dynamic risk-based limits,57,IT,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-02-27T08:50:00
DRF-000311,ORG-0011,POL-000108,CIR-00220,Timeline Tightened,annual review,quarterly review,86,"Operations,IT","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-04-06T20:51:00
DRF-000312,ORG-0001,POL-000011,CIR-00170,Scope Expanded,board noting,board approval with action tracker,22,"Audit,Finance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-03-15T09:44:00
DRF-000313,ORG-0020,POL-000203,CIR-00010,Threshold Changed,periodic audit,continuous monitoring dashboard,62,"Audit,Risk,Operations","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-05-16T09:35:00
DRF-000314,ORG-0029,POL-000299,CIR-00006,Evidence Standard Changed,periodic audit,continuous monitoring dashboard,62,"Security,Risk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-10-28T15:04:00
DRF-000315,ORG-0014,POL-000142,CIR-00111,Timeline Tightened,periodic audit,continuous monitoring dashboard,93,"Finance,Audit,Trading Desk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-05-15T16:34:00
DRF-000316,ORG-0011,POL-000105,CIR-00188,Scope Expanded,static limits,dynamic risk-based limits,22,IT,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2026-07-15T13:09:00
DRF-000317,ORG-0021,POL-000212,CIR-00094,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,27,Data Governance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2026-07-09T12:59:00
DRF-000318,ORG-0023,POL-000226,CIR-00171,Timeline Tightened,basic due diligence,enhanced due diligence for high-risk customers,71,"Audit,IT,Data Governance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2025-05-10T09:34:00
DRF-000319,ORG-0018,POL-000178,CIR-00021,Retention Period Changed,static limits,dynamic risk-based limits,88,"Operations,Security","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-12-12T08:35:00
DRF-000320,ORG-0025,POL-000254,CIR-00030,Threshold Changed,board noting,board approval with action tracker,72,"Data Governance,Trading Desk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-02-26T09:44:00
DRF-000321,ORG-0013,POL-000133,CIR-00082,Timeline Tightened,board noting,board approval with action tracker,37,Risk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-04-30T11:48:00
DRF-000322,ORG-0024,POL-000242,CIR-00048,Approval Level Increased,static limits,dynamic risk-based limits,98,"Finance,Data Governance,Trading Desk","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-05-13T11:52:00
DRF-000323,ORG-0029,POL-000302,CIR-00163,Retention Period Changed,basic due diligence,enhanced due diligence for high-risk customers,22,Risk,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-10-28T16:18:00
DRF-000324,ORG-0012,POL-000117,CIR-00161,Scope Expanded,informal escalation,formal incident notification within 24 hours,54,"Compliance,Legal,Operations","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-12-16T20:28:00
DRF-000325,ORG-0026,POL-000269,CIR-00158,Timeline Tightened,sample testing,complete population testing for high-risk items,45,"Risk,Security,Trading Desk","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-10-12T08:17:00
DRF-000326,ORG-0001,POL-000010,CIR-00102,Threshold Changed,informal escalation,formal incident notification within 24 hours,38,"Legal,Audit,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2026-04-29T17:50:00
DRF-000327,ORG-0023,POL-000230,CIR-00052,Threshold Changed,periodic audit,continuous monitoring dashboard,41,Compliance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-03-31T17:35:00
DRF-000328,ORG-0028,POL-000286,CIR-00052,Retention Period Changed,informal escalation,formal incident notification within 24 hours,36,"Legal,Compliance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-11-02T14:29:00
DRF-000329,ORG-0012,POL-000120,CIR-00149,New Control Required,annual review,quarterly review,93,"Operations,Compliance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-07-27T15:20:00
DRF-000330,ORG-0022,POL-000218,CIR-00121,New Control Required,board noting,board approval with action tracker,27,"IT,Operations,Compliance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-03-28T14:35:00
DRF-000331,ORG-0027,POL-000272,CIR-00145,Evidence Standard Changed,board noting,board approval with action tracker,76,Security,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-01-16T19:26:00
DRF-000332,ORG-0016,POL-000161,CIR-00150,Scope Expanded,board noting,board approval with action tracker,77,"Audit,Risk,IT","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-10-31T11:28:00
DRF-000333,ORG-0023,POL-000234,CIR-00134,Timeline Tightened,annual review,quarterly review,54,"Legal,Compliance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2025-06-19T19:46:00
DRF-000334,ORG-0017,POL-000171,CIR-00055,Retention Period Changed,periodic audit,continuous monitoring dashboard,20,"Trading Desk,Audit,Compliance","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2026-06-10T09:20:00
DRF-000335,ORG-0022,POL-000217,CIR-00191,Scope Expanded,board noting,board approval with action tracker,54,"Operations,Risk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-04-17T10:39:00
DRF-000336,ORG-0019,POL-000189,CIR-00208,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,22,Finance,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-11-22T18:54:00
DRF-000337,ORG-0009,POL-000085,CIR-00010,New Control Required,informal escalation,formal incident notification within 24 hours,53,Trading Desk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-04-07T20:37:00
DRF-000338,ORG-0017,POL-000172,CIR-00028,Timeline Tightened,manual evidence upload,system-generated evidence hash,50,"Operations,Compliance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2026-07-07T15:06:00
DRF-000339,ORG-0010,POL-000101,CIR-00201,Timeline Tightened,sample testing,complete population testing for high-risk items,62,"Security,Data Governance,Compliance","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2026-05-04T20:35:00
DRF-000340,ORG-0005,POL-000051,CIR-00164,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,86,"IT,Risk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-01-24T15:17:00
DRF-000341,ORG-0017,POL-000173,CIR-00107,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,89,Legal,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-07-01T10:50:00
DRF-000342,ORG-0018,POL-000183,CIR-00066,New Control Required,informal escalation,formal incident notification within 24 hours,21,"Finance,Security","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-11-17T09:59:00
DRF-000343,ORG-0023,POL-000236,CIR-00180,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,37,"Data Governance,IT","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2025-12-29T20:19:00
DRF-000344,ORG-0030,POL-000304,CIR-00105,Evidence Standard Changed,static limits,dynamic risk-based limits,39,"Data Governance,Compliance","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-05-07T09:27:00
DRF-000345,ORG-0022,POL-000215,CIR-00208,Scope Expanded,manual evidence upload,system-generated evidence hash,54,"Risk,IT,Audit","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2025-05-16T19:26:00
DRF-000346,ORG-0002,POL-000020,CIR-00102,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,22,"Finance,Legal,Audit","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2026-04-05T10:05:00
DRF-000347,ORG-0013,POL-000132,CIR-00070,Scope Expanded,periodic audit,continuous monitoring dashboard,22,Compliance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2025-10-06T11:04:00
DRF-000348,ORG-0026,POL-000265,CIR-00018,Scope Expanded,annual review,quarterly review,55,"Operations,Legal","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2026-01-19T13:47:00
DRF-000349,ORG-0029,POL-000296,CIR-00002,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,87,"Finance,Security,Legal","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-01-13T20:25:00
DRF-000350,ORG-0024,POL-000239,CIR-00182,Scope Expanded,periodic audit,continuous monitoring dashboard,55,"Legal,Trading Desk","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-03-06T11:04:00
